SN,filename,number_of_cells
81,220909_GFP-AHPC_D_GFAP_F3_DAPI_ND1_20x.csv,253
82,220912_GFP-AHPC_A_Nestin_F6_DAPI_ND1_20x.csv,313
83,220909_GFP-AHPC_D_TuJ1_F8_DAPI_ND1_20x.csv,133
84,220909_GFP-AHPC_D_MAP2ab_F1_DAPI_ND1_20x.csv,280
85,220909_GFP-AHPC_C_GFAP_F5_DAPI_ND1_20x.csv,101
86,220909_GFP-AHPC_B_Ki67_F10_DAPI_ND1_20x.csv,37
87,220909_GFP-AHPC_D_GFAP_F8_DAPI_ND1_20x.csv,342
88,220912_GFP-AHPC_A_TuJ1_F5_DAPI_ND1_20x.csv,80
89,220912_GFP-AHPC_B_TuJ1_F8_DAPI_ND1_20x.csv,36
90,220909_GFP-AHPC_A_GFAP_F6_DAPI_ND1_20x.csv,477
91,220909_GFP-AHPC_B_Ki67_F3_DAPI_ND1_20x.csv,10
92,220909_GFP-AHPC_D_MAP2ab_F4_DAPI_ND1_20x.csv,315
93,220909_GFP-AHPC_C_Ki67_F8_DAPI_ND1_20x.csv,81
94,220912_GFP-AHPC_C_TuJ1_F3_DAPI_ND1_20x.csv,19
95,220912_GFP-AHPC_A_Map2AB_F6_DAPI_ND1_20x.csv,148
96,220909_GFP-AHPC_B_Ki67_F6_DAPI_ND1_20x.csv,32
97,220912_GFP-AHPC_A_Nestin_F8_DAPI_ND1_20x.csv,139
98,220909_GFP-AHPC_C_Nestin_F5_DAPI_ND1_20x.csv,25
99,220909_GFP-AHPC_C_Ki67_F3_DAPI_ND1_20x.csv,51
100,220909_GFP-AHPC_D_TuJ1_F6_DAPI_ND1_20x.csv,258
101,220912_GFP-AHPC_C_TuJ1_F8_DAPI_ND1_20x.csv,22
102,220912_GFP-AHPC_C_Map2AB_F5_DAPI_ND1_20x.csv,11
103,220912_GFP-AHPC_A_Nestin_F3_DAPI_ND1_20x.csv,301
104,220909_GFP-AHPC_D_GFAP_F6_DAPI_ND1_20x.csv,359
105,220909_GFP-AHPC_D_GFAP_F2_DAPI_ND1_20x.csv,238
106,220909_GFP-AHPC_B_Ki67_F9_DAPI_ND1_20x.csv,42
107,220909_GFP-AHPC_A_Ki67_F4_DAPI_ND1_20x.csv,554
108,220912_GFP-AHPC_A_Map2AB_F9_DAPI_ND1_20x.csv,129
109,220909_GFP-AHPC_C_Ki67_F7_DAPI_ND1_20x.csv,170
110,220912_GFP-AHPC_B_Nestin_F1_DAPI_ND1_20x.csv,36
111,220909_GFP-AHPC_C_Nestin_F1_DAPI_ND1_20x.csv,122
112,220912_GFP-AHPC_B_TuJ1_F10_DAPI_ND1_20x.csv,47
113,220909_GFP-AHPC_A_GFAP_F7_DAPI_ND1_20x.csv,311
114,220912_GFP-AHPC_B_TuJ1_F9_DAPI_ND1_20x.csv,27
115,220912_GFP-AHPC_A_Map2AB_F2_DAPI_ND1_20x.csv,154
116,220909_GFP-AHPC_D_GFAP_F9_DAPI_ND1_20x.csv,459
117,220912_GFP-AHPC_B_Map2AB_F4_DAPI_ND1_20x.csv,45
118,220909_GFP-AHPC_A_GFAP_F10_DAPI_ND1_20x.csv,192
119,220912_GFP-AHPC_C_TuJ1_F1.1_DAPI_ND1_20x.csv,49
120,220909_GFP-AHPC_C_GFAP_F4_DAPI_ND1_20x.csv,89
