SN,image name,ground truth
67,8500-23800_GTEX-131XG_Adipose-Subcutaneous.png,182
68,3400-25500_GTEX-U3ZG_Adipose-Subcutaneous.png,122
69,15300-8500_GTEX-YJ8O_Adipose-Subcutaneous.png,117
70,17000-10200_GTEX-XBEC_Adipose-Subcutaneous.png,136
71,32300-11900_GTEX-WK11_Adipose-Subcutaneous.png,148
72,28900-6800_GTEX-15G19_Adipose-Subcutaneous.png,164
73,5100-20400_GTEX-WWYW_Adipose-Subcutaneous.png,129
74,10200-11900_GTEX-13D11_Adipose-Subcutaneous.png,163
75,34000-11900_GTEX-11EQ8_Adipose-Subcutaneous.png,129
76,13600-18700_GTEX-13O3P_Adipose-Subcutaneous.png,116
77,10200-13600_GTEX-1339X_Adipose-Subcutaneous.png,242
78,18700-28900_GTEX-14BIN_Adipose-Subcutaneous.png,116
79,22100-13600_GTEX-1CB4H_Adipose-Subcutaneous.png,274
80,5100-8500_GTEX-RTLS_Adipose-Subcutaneous.png,130
81,23800-25500_GTEX-X585_Adipose-Subcutaneous.png,211
82,30600-11900_GTEX-14B4R_Adipose-Subcutaneous.png,147
83,20400-34000_GTEX-12WSC_Adipose-Subcutaneous.png,117
84,15300-6800_GTEX-15DDE_Adipose-Subcutaneous.png,134
85,6800-11900_GTEX-RVPV_Adipose-Subcutaneous.png,170
86,10200-23800_GTEX-YEC4_Adipose-Subcutaneous.png,109
87,13600-20400_GTEX-16Z82_Adipose-Subcutaneous.png,114
88,28900-30600_GTEX-U3ZH_Adipose-Subcutaneous.png,106
89,23800-30600_GTEX-ZDTT_Adipose-Subcutaneous.png,144
90,10200-10200_GTEX-X3Y1_Adipose-Subcutaneous.png,178
91,30600-27200_GTEX-ZEX8_Adipose-Subcutaneous.png,187
92,17000-34000_GTEX-ZT9W_Adipose-Subcutaneous.png,128
93,8500-8500_GTEX-145MF_Adipose-Subcutaneous.png,194
94,15300-15300_GTEX-15SZO_Adipose-Subcutaneous.png,132
95,11900-23800_GTEX-ZVT4_Adipose-Subcutaneous.png,129
96,22100-17000_GTEX-13FXS_Adipose-Subcutaneous.png,160
97,10200-27200_GTEX-131XF_Adipose-Subcutaneous.png,184
98,11900-10200_GTEX-131XE_Adipose-Subcutaneous.png,167
99,17000-15300_GTEX-ZPCL_Adipose-Subcutaneous.png,169
100,23800-6800_GTEX-1C475_Adipose-Subcutaneous.png,114
101,17000-27200_GTEX-14BIN_Adipose-Subcutaneous.png,132
102,34000-8500_GTEX-WK11_Adipose-Subcutaneous.png,100
103,30600-11900_GTEX-144GL_Adipose-Subcutaneous.png,162
104,27200-20400_GTEX-18D9U_Adipose-Subcutaneous.png,126
105,6800-6800_GTEX-14C5O_Adipose-Subcutaneous.png,118
106,17000-27200_GTEX-111VG_Adipose-Subcutaneous.png,157
107,5100-22100_GTEX-ZG7Y_Adipose-Subcutaneous.png,194
108,28900-18700_GTEX-14E6E_Adipose-Subcutaneous.png,156
109,27200-6800_GTEX-146FR_Adipose-Subcutaneous.png,155
110,6800-15300_GTEX-17F9Y_Adipose-Subcutaneous.png,155
111,22100-35700_GTEX-YBZK_Adipose-Subcutaneous.png,221
112,35700-13600_GTEX-PLZ6_Adipose-Subcutaneous.png,227
113,18700-35700_GTEX-178AV_Adipose-Subcutaneous.png,144
114,13600-17000_GTEX-12ZZX_Adipose-Subcutaneous.png,179
115,30600-18700_GTEX-ZZPU_Adipose-Subcutaneous.png,139
116,11900-23800_GTEX-11WQC_Adipose-Subcutaneous.png,114
117,10200-27200_GTEX-13D11_Adipose-Subcutaneous.png,158
118,34000-5100_GTEX-14C5O_Adipose-Subcutaneous.png,104
119,11900-22100_GTEX-ZUA1_Adipose-Subcutaneous.png,171
120,10200-13600_GTEX-Y5V5_Adipose-Subcutaneous.png,195
121,11900-13600_GTEX-11P82_Adipose-Subcutaneous.png,253
122,17000-22100_GTEX-13X6I_Adipose-Subcutaneous.png,119
123,10200-17000_GTEX-17EUY_Adipose-Subcutaneous.png,164
124,34000-13600_GTEX-17GQL_Adipose-Subcutaneous.png,158
125,25500-25500_GTEX-YEC4_Adipose-Subcutaneous.png,162
126,23800-17000_GTEX-Y5V5_Adipose-Subcutaneous.png,174
127,22100-8500_GTEX-1C475_Adipose-Subcutaneous.png,90
128,6800-23800_GTEX-139T6_Adipose-Subcutaneous.png,138
129,35700-5100_GTEX-QXCU_Adipose-Subcutaneous.png,142
130,22100-8500_GTEX-1477Z_Adipose-Subcutaneous.png,149
131,10200-5100_GTEX-OOBK_Adipose-Subcutaneous.png,171
132,15300-18700_GTEX-15EOM_Adipose-Subcutaneous.png,148
133,22100-15300_GTEX-1497J_Adipose-Subcutaneous.png,172
134,15300-15300_GTEX-12126_Adipose-Subcutaneous.png,178
135,28900-11900_GTEX-13QJ3_Adipose-Subcutaneous.png,185
136,32300-15300_GTEX-RWS6_Adipose-Subcutaneous.png,155
137,15300-6800_GTEX-OIZG_Adipose-Subcutaneous.png,155
138,18700-17000_GTEX-1AMFI_Adipose-Subcutaneous.png,117
139,6800-18700_GTEX-O5YV_Adipose-Subcutaneous.png,188
140,11900-27200_GTEX-X88G_Adipose-Subcutaneous.png,150
141,35700-11900_GTEX-13S7M_Adipose-Subcutaneous.png,143
142,27200-17000_GTEX-XMD3_Adipose-Subcutaneous.png,144
143,8500-13600_GTEX-17F9Y_Adipose-Subcutaneous.png,113
144,13600-27200_GTEX-ZV6S_Adipose-Subcutaneous.png,132
145,6800-22100_GTEX-ZF2S_Adipose-Subcutaneous.png,118
146,20400-27200_GTEX-UJMC_Adipose-Subcutaneous.png,139
147,34000-5100_GTEX-U3ZG_Adipose-Subcutaneous.png,146
148,30600-18700_GTEX-18QFQ_Adipose-Subcutaneous.png,177
149,32300-5100_GTEX-WXYG_Adipose-Subcutaneous.png,138
150,34000-10200_GTEX-147JS_Adipose-Subcutaneous.png,165
151,8500-22100_GTEX-11WQC_Adipose-Subcutaneous.png,71
152,13600-22100_GTEX-178AV_Adipose-Subcutaneous.png,147
153,3400-13600_GTEX-15UF6_Adipose-Subcutaneous.png,107
154,34000-23800_GTEX-XBEW_Adipose-Subcutaneous.png,208
155,30600-6800_GTEX-15DYW_Adipose-Subcutaneous.png,176
156,13600-22100_GTEX-13PDP_Adipose-Subcutaneous.png,149
157,28900-13600_GTEX-QEG4_Adipose-Subcutaneous.png,181
158,27200-11900_GTEX-13NZ8_Adipose-Subcutaneous.png,145
159,23800-25500_GTEX-ZVT2_Adipose-Subcutaneous.png,154
160,15300-15300_GTEX-1128S_Adipose-Subcutaneous.png,85
161,8500-11900_GTEX-T6MN_Adipose-Subcutaneous.png,139
162,10200-6800_GTEX-1AMEY_Adipose-Subcutaneous.png,140
163,27200-13600_GTEX-14XAO_Adipose-Subcutaneous.png,185
164,18700-32300_GTEX-Y111_Adipose-Subcutaneous.png,152
165,6800-17000_GTEX-132Q8_Adipose-Subcutaneous.png,150
166,5100-17000_GTEX-TKQ2_Adipose-Subcutaneous.png,154
167,0-11900_GTEX-13QJC_Adipose-Subcutaneous.png,142
168,17000-5100_GTEX-X4EO_Adipose-Subcutaneous.png,178
169,32300-22100_GTEX-ZVP2_Adipose-Subcutaneous.png,155
170,17000-32300_GTEX-14XAO_Adipose-Subcutaneous.png,162
171,34000-5100_GTEX-13QIC_Adipose-Subcutaneous.png,147
172,32300-6800_GTEX-QXCU_Adipose-Subcutaneous.png,171
173,11900-11900_GTEX-RU72_Adipose-Subcutaneous.png,135
174,34000-8500_GTEX-1CB4I_Adipose-Subcutaneous.png,129
175,30600-17000_GTEX-OHPK_Adipose-Subcutaneous.png,197
176,23800-8500_GTEX-ZAB5_Adipose-Subcutaneous.png,155
177,32300-10200_GTEX-1F6RS_Adipose-Subcutaneous.png,121
178,30600-11900_GTEX-13O3O_Adipose-Subcutaneous.png,136
179,35700-13600_GTEX-YEC3_Adipose-Subcutaneous.png,95
180,11900-15300_GTEX-14ABY_Adipose-Subcutaneous.png,123
181,13600-13600_GTEX-1B8SG_Adipose-Subcutaneous.png,154
182,1700-32300_GTEX-ZYW4_Adipose-Subcutaneous.png,163
183,11900-17000_GTEX-16NPV_Adipose-Subcutaneous.png,171
184,22100-18700_GTEX-RM2N_Adipose-Subcutaneous.png,140
185,13600-3400_GTEX-XMD1_Adipose-Subcutaneous.png,205
186,5100-27200_GTEX-11ZTS_Adipose-Subcutaneous.png,48
187,32300-11900_GTEX-ZG7Y_Adipose-Subcutaneous.png,175
188,28900-8500_GTEX-S33H_Adipose-Subcutaneous.png,144
189,15300-8500_GTEX-15D1Q_Adipose-Subcutaneous.png,188
190,28900-6800_GTEX-13FTY_Adipose-Subcutaneous.png,156
191,15300-13600_GTEX-13CZV_Adipose-Subcutaneous.png,145
192,17000-28900_GTEX-111CU_Adipose-Subcutaneous.png,186
193,17000-20400_GTEX-13NZ8_Adipose-Subcutaneous.png,137
194,8500-11900_GTEX-1AYD5_Adipose-Subcutaneous.png,170
195,13600-17000_GTEX-13O3O_Adipose-Subcutaneous.png,145
196,18700-18700_GTEX-ZQG8_Adipose-Subcutaneous.png,158
197,11900-10200_GTEX-1B8L1_Adipose-Subcutaneous.png,200
198,10200-18700_GTEX-145LT_Adipose-Subcutaneous.png,175
199,25500-22100_GTEX-16YQH_Adipose-Subcutaneous.png,150
200,10200-25500_GTEX-NL3H_Adipose-Subcutaneous.png,120
